PLAYER,TEAM,MIN,AST per game,Opt. AST per game,AST per 75 poss,Opt. AST per 75 poss,Passing Production Rating Percentile
Coby White,CHI,1674,2.69,3.76,3.76,5.24,0.678
Pascal Siakam,TOR,2072,3.42,5.01,3.5,5.09,0.675
Jordan Poole,GSW,1274,2.35,3.12,3.75,4.97,0.672
Nemanja Bjelica,SAC,1981,2.83,3.67,3.72,4.85,0.669
Rondae Hollis-Jefferson,TOR,1116,1.78,2.49,3.44,4.84,0.666
Julius Randle,NYK,2080,3.09,4.36,3.5,4.94,0.662
Alex Caruso,LAL,1175,1.94,2.5,3.79,4.9,0.659
Alec Burks,PHI,1754,2.86,3.63,3.9,4.94,0.656
Terence Davis,TOR,1203,1.62,2.21,3.43,4.76,0.653
Marquese Chriss,GSW,1196,1.93,2.57,3.44,4.57,0.65
Josh Richardson,PHI,1693,2.95,4.0,3.52,4.78,0.647
Joel Embiid,PHI,1506,2.98,3.79,3.69,4.69,0.644
Kevin Love,CLE,1780,3.18,3.95,3.65,4.54,0.641
Frank Kaminsky,PHX,745,1.87,2.52,3.4,4.45,0.638
Damion Lee,GSW,1423,2.71,3.68,3.34,4.52,0.634
Shai Gilgeous-Alexander,OKC,2428,3.31,4.46,3.51,4.73,0.631
John Henson,DET,600,1.35,1.78,3.33,4.4,0.628
Donte DiVincenzo,MIL,1495,2.34,3.04,3.49,4.54,0.625
Troy Brown Jr.,WAS,1782,2.58,3.3,3.52,4.5,0.622
Anthony Davis,LAL,2131,3.23,4.32,3.34,4.47,0.619
Collin Sexton,CLE,2143,2.95,4.31,3.27,4.77,0.616
Buddy Hield,SAC,2192,2.99,3.88,3.47,4.56,0.612
Royce O'Neale,UTA,2049,2.54,3.37,3.25,4.31,0.609
Jakob Poeltl,SAS,1155,1.75,2.14,3.53,4.31,0.606
Tobias Harris,PHI,2469,3.15,4.18,3.39,4.5,0.603
Dwayne Bacon,CHA,687,1.33,2.05,2.84,4.37,0.6
Garrett Temple,BKN,1730,2.52,3.39,3.22,4.33,0.597
Larry Nance Jr.,CLE,1472,2.2,3.05,3.09,4.3,0.594
Kelly Olynyk,MIA,1287,1.73,2.29,3.22,4.26,0.591
Kevin Porter Jr.,CLE,1162,2.18,2.72,3.47,4.33,0.588
Solomon Hill,MIA,1088,1.76,2.16,3.4,4.16,0.584
Svi Mykhailiuk,DET,1253,1.91,2.56,3.08,4.16,0.581
Jayson Tatum,BOS,2265,3.03,4.06,3.22,4.32,0.578
DeAndre' Bembry,ATL,915,1.88,2.6,3.1,4.28,0.575
Jevon Carter,PHX,945,1.45,1.93,3.21,4.29,0.572
Pat Connaughton,MIL,1234,1.61,2.19,3.0,4.12,0.569
Patrick McCaw,TOR,891,2.17,2.82,3.14,4.15,0.566
DeAndre Jordan,BKN,1234,1.88,2.46,3.05,4.0,0.562
Seth Curry,DAL,1505,1.87,2.77,2.86,4.1,0.559
Cedi Osman,CLE,1910,2.37,3.26,2.95,4.06,0.556
Tony Snell,DET,1613,2.19,2.93,2.89,3.94,0.553
Harry Giles III,SAC,653,1.29,1.57,3.27,3.94,0.55
Jerome Robinson,WAS,979,1.38,1.81,3.07,4.02,0.547
Steven Adams,OKC,1681,2.32,2.86,3.21,3.96,0.544
